,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
TRRDX,0.1448785802487415,0.0674095506021943,-0.3819386680512175,0.3517598410583364,0.1455426542545801,-0.0447534600013138,0.1755936819633923,0.2336343137272216,0.073062805787659,0.0013556798413796,0.0932284804400755,0.2203180288429329,-0.0741208122783854,0.2476026208472663,0.1706629862315782,0.175581377631145,-0.1889827156412092,0.196054835050951,0.139303541668553,0.1819081538823805
FICHX,,,,,,,,,0.1456934266995577,0.0342918085829586,0.0558547175200339,0.3164560030958454,-0.0438106939474938,0.2429764737474211,0.2746237675489016,0.4216096873426807,-0.2396618318038421,0.2964632860410447,0.2525275622939429,0.2179274321396578
PLFIX,0.1385122939164746,0.0545425609539045,-0.3622521979667639,0.2249300138059848,0.1360902659051415,0.0086040041499868,0.1570701131167151,0.2884134265833915,0.1448777852728282,0.0122428244086825,0.1343772707608159,0.2063274390886735,-0.0541396912779441,0.3117724165234139,0.1715420252288142,0.3018924200098638,-0.1874535173295378,0.2684276387520641,0.2554500614095107,0.1889150240623238
FPURX,0.1350353153901964,0.0625330919144184,-0.2864158709127896,0.2468833320513892,0.1257734368923408,-0.0015875539031477,0.126258301982538,0.1843210173517595,0.112108428658461,0.0177864258332511,0.0634571731375117,0.1800874004318062,-0.0479120708535435,0.2139771685133535,0.1958460962704828,0.200744362870789,-0.1746784202288386,0.202554207339126,0.20020892860125,0.1273031860450644
CGGO,,,,,,,,,,,,,,,,,,0.229654874319019,0.1629301208076539,0.216327863701407
PJGZX,0.1468376257262553,0.0399336836570816,-0.3780266980077167,0.3730884930359408,0.1494345723250858,-0.0276514790143791,0.1529483078683235,0.3087643754491678,0.090590613404194,-0.0200807103262149,0.1687321118162081,0.1456308697188162,-0.1486566526097337,0.1984268759076657,0.0068217931907141,0.2954323418380231,-0.1135179287435285,0.1743066785935552,0.2508202367379244,0.1851711259555897
FIPDX,,,,,,,,-0.0836248037318526,0.0326627475543959,-0.0232584706532598,0.0441184322948406,0.0282755667449752,-0.0107014790272019,0.0808708708346903,0.1035296654948563,0.0574910584774017,-0.1161056771047071,0.0355041210225932,0.020012263441461,0.0689741163484072
FAMRX,0.1066119759736121,0.0804635372293738,-0.3807344946208297,0.3518093106320865,0.1451397757077484,-0.0699604674750967,0.1400153684856158,0.2282057109343498,0.066884425546233,-0.0054447235711252,0.0906632296291245,0.2145947353439687,-0.099058097841276,0.2625857350363774,0.1848510184143277,0.1795431870451509,-0.1876354164352741,0.1909077548570945,0.1363451791058934,0.2143095937463763
SFLNX,,,-0.3913531493252046,0.3811064638902985,0.1728200469825185,-0.0148280112358469,0.1458409876187167,0.3096216669109908,0.1323513535683576,-0.0286668793007973,0.1766640342245629,0.1608854858764823,-0.0822708457145653,0.2847268127366051,0.0845035057622611,0.334610312130859,-0.0769179491998092,0.1832921027263361,0.1667790814609624,0.1815691560285104
GTLOX,0.1166590798180389,0.0246857729548193,-0.3675396793796628,0.2354871535148379,0.1530425076127792,0.0171673895071988,0.1581932377672255,0.3389313384114778,0.1757748373756211,0.016126281242323,0.1261699788157171,0.2378817497955387,-0.0864745885603025,0.2317300171817529,0.0678740182901211,0.2865987358491155,-0.155101164777344,0.1688730170577359,0.1411406941055752,0.1537659360418135
