,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AIVL,0.17057400635607456,-0.003292505996038808,-0.3537016378443204,0.22835022311746922,0.20115505861943128,0.11482926347184752,0.1118525324685462,0.24796677028483916,0.1639657840578692,-0.05521109548909009,0.18650317177713194,0.12455038411447239,-0.10401588059032607,0.23707571735880628,-0.057056544619776495,0.25953089674370866,-0.0733682105913448,0.06739178062427231,0.1316571144787786,0.10851941754892147
AJAN,,,,,,,,,,,,,,,,,,,0.07782342620436933,0.06058528364652749
AJUL,,,,,,,,,,,,,,,,,,,,0.07863121188476008
AKAF,,,,,,,,,,,,,,,,,,,,
AKRE,,,,,,,,,,,,,,,,,,,,
ALAI,,,,,,,,,,,,,,,,,,,,0.3959515255102204
ALIL,,,,,,,,,,,,,,,,,,,,
ALLW,,,,,,,,,,,,,,,,,,,,
ALRG,,,,,,,,,,,,,,,,,,,,
ALTL,,,,,,,,,,,,,,,,0.47695502602954676,-0.11902745319400376,-0.15851182353529514,0.11303281302060464,0.18028431390865718
ALTY,,,,,,,,,,-0.04632308384765638,0.17921696542277554,0.10319217438217376,-0.0600058343057176,0.20363438701327752,-0.12863214675868861,0.24599050575392956,-0.12065249570078818,0.09955053695205773,0.11163711772625651,0.10500828328040801
AMA,,,,,,,,,,,,,,,,,,,,
AMAU,,,,,,,,,,,,,,,,,,,,
AMDL,,,,,,,,,,,,,,,,,,,,1.056282763441144
AMID,,,,,,,,,,,,,,,,,,0.3191039610350337,0.1435571415211767,0.0029160882322369
AMKL,,,,,,,,,,,,,,,,,,,,
AMLP,,,,,,0.0977440613804279,0.0177559362786321,0.1570093936396794,0.0583588530767846,-0.2790234043113304,0.1388368915683731,-0.08904651283968,-0.1479601019198251,0.0408126310132301,-0.3312207390072734,0.4028831581624847,0.2196680195293698,0.233431669882165,0.226472977914758,0.0496349733910577
AMOM,,,,,,,,,,,,,,,0.524681927514427,0.13421959067589007,-0.26224453086371413,0.2838905965864238,0.3770192827251264,0.08764813193246734
AMYY,,,,,,,,,,,,,,,,,,,,
AMZP,,,,,,,,,,,,,,,,,,,0.39329442102984924,0.09321880937173588
AMZZ,,,,,,,,,,,,,,,,,,,,-0.08220754628020421
ANEW,,,,,,,,,,,,,,,,0.07675760420403921,-0.2953774076029604,0.22559709194975475,0.20745451036027296,0.12885139660777778
AOA,,,,0.23884906224840363,0.14901923422238594,-0.02638293090329069,0.13521083610932583,0.20508433464679254,0.07117218048978269,-0.009655619673918925,0.08635220361159468,0.19494873521493816,-0.08425958697271585,0.22574432601534444,0.11895214891324479,0.1600022159809158,-0.1653435496125928,0.18029374985906,0.14331921033741657,0.20665143961703825
AOCT,,,,,,,,,,,,,,,,,,,,0.07260988989851591
AOK,,,,0.08467682954188538,0.06627019900483733,0.042399619939412325,0.06214652278372035,0.05978107301039759,0.04471501463488581,-0.011829803905848202,0.052740700828035836,0.09601487075182935,-0.03248784680393613,0.13653937643930947,0.08821256211108763,0.05038871421388458,-0.13743701079502058,0.10293564901084262,0.07111163138313059,0.12217853047701044
AOM,,,,0.1274198297252589,0.07054213223434114,0.018078871396120633,0.07985864052249236,0.08935828859835859,0.05116943461779089,-0.011767330491118444,0.057570765075999564,0.11473652922876965,-0.042109233924367495,0.15482746616942156,0.09615179973087207,0.07131942944783032,-0.14497763448259104,0.11822628082260311,0.08571191712077542,0.1379392374997528
AOR,,,,0.17441263703078524,0.09797559668719313,0.0052326493990833,0.10411089799710305,0.14077887215007756,0.07242162819448628,-0.010187758191673835,0.07402153496335817,0.15489511450636773,-0.06243584276612024,0.1893645168858893,0.10752561668012528,0.1146404991085681,-0.15778691078839302,0.14891776955827396,0.11478580542320094,0.1724605980477132
AOTG,,,,,,,,,,,,,,,,,,0.5641346069120836,0.3565442156192449,0.2587605380372761
APHU,,,,,,,,,,,,,,,,,,,,
APOC,,,,,,,,,,,,,,,,,,,,0.029564204149962414
APPC,,,,,,,,,,,,,,,,,,,,
APRH,,,,,,,,,,,,,,,,,,,0.06907241972619915,0.06924137205846703
APRJ,,,,,,,,,,,,,,,,,,,0.05982780808622179,0.05642033856366435
APRP,,,,,,,,,,,,,,,,,,,,0.07924632762525108
APRT,,,,,,,,,,,,,,,,0.1234610466122998,-0.0697318780355693,0.2236230449642282,0.1553791291355657,0.0806815584867841
APRW,,,,,,,,,,,,,,,,0.0576848024667082,-0.0292051397582426,0.1233345913460246,0.1132588025045577,0.0628409560819793
APXM,,,,,,,,,,,,,,,,,,,,
AQLT,,,,,,,,,,,,,,,,,,,,0.18520500042723542
ARKB,,,,,,,,,,,,,,,,,,,,-0.1003392284467635
ARKF,,,,,,,,,,,,,,,1.0308152229946823,-0.1713996203187182,-0.6519511917570717,0.9463655297645236,0.4071401273871495,0.2916491822171221
ARKG,,,,,,,,,,-0.015727765385068,-0.1591156137023146,0.4436593639260104,-0.0358148738918646,0.4082432768050097,1.818311777516453,-0.3383489489590979,-0.5537464386459356,0.188337582324785,-0.280409559966759,0.1856092021855129
ARKK,,,,,,,,,,0.0370527785025605,0.001998859388657,0.8377970139083617,-0.0050564477962236,0.3424729157077533,1.5045889455514,-0.2351361240507595,-0.6779049191879645,0.7336427295632302,0.1241584249062113,0.3687819226932716
ARKQ,,,,,,,,,,-0.0140531147608752,0.1682446985075767,0.5036431279583635,-0.1007398856075832,0.2563002661923135,1.030909124493574,0.0101642469423179,-0.4791719629456537,0.4250432156260677,0.3689526869040116,0.5132850630281542
ARKW,,,,,,,,,,0.1663262103821718,0.1188140543903462,0.848637173225874,0.0108142692925452,0.356335397219685,1.5188568559509903,-0.1639514264283456,-0.6805336766727137,1.0116618877991446,0.4808009774496002,0.3878489910554414
ARKX,,,,,,,,,,,,,,,,,-0.3461741506863737,0.2477732284554168,0.297872374153828,0.5023160100662458
ARLU,,,,,,,,,,,,,,,,,,,,0.1224354705974963
ARMH,,,,,,,,,,,,,,,,,,,,
ARP,,,,,,,,,,,,,,,,,,0.029689465294529427,0.1446047050950079,0.19223639125176395
ARTY,,,,,,,,,,,,,,0.3374169164213323,0.45716663567506277,0.06565893906399967,-0.38411896307504867,0.3499581944789685,0.10750753373904032,0.3076301619665287
ARVR,,,,,,,,,,,,,,,,,,0.43297939943603736,0.13449718726595572,0.2951472336580967
ASCE,,,,,,,,,,,,,,,,,,,,
ASGM,,,,,,,,,,,,,,,,,,,,
ASLV,,,,,,,,,,,,,,,,,,,,
ASMF,,,,,,,,,,,,,,,,,,,,0.010992589756342097
ASMH,,,,,,,,,,,,,,,,,,,,
ASMU,,,,,,,,,,,,,,,,,,,,
ASTG,,,,,,,,,,,,,,,,,,,,
ASTT,,,,,,,,,,,,,,,,,,,,
ATFV,,,,,,,,,,,,,,,,,-0.3608017457222895,0.3441155859059666,0.503882263748384,0.3723972446330954
AUGM,,,,,,,,,,,,,,,,,,,,0.06770148755253125
AUGP,,,,,,,,,,,,,,,,,,,,0.14180090016803093
AUGT,,,,,,,,,,,,,,,,,,,0.2027079185219045,0.152381835863707
AUGU,,,,,,,,,,,,,,,,,,,,0.1333690546412029
AUGW,,,,,,,,,,,,,,,,,,,0.1343283637270576,0.1144125786512584
AUSF,,,,,,,,,,,,,,0.2358396420865978,0.014293374781561008,0.28977311131275907,0.0030274933774636636,0.23245398842427423,0.16785560138447875,0.14612589592423886
AVDE,,,,,,,,,,,,,,,0.0724601647932232,0.1335864265496282,-0.1417868519189886,0.1678895979900896,0.0594992677539922,0.3897596009671649
AVDS,,,,,,,,,,,,,,,,,,,0.0455026965445275,0.3899168160441977
AVDV,,,,,,,,,,,,,,,0.040013691682303,0.1573811976926771,-0.1195672498300188,0.1672237465118302,0.0981239931459792,0.498677835229917
AVEE,,,,,,,,,,,,,,,,,,,0.0445236260493748,0.20081805425583
AVEM,,,,,,,,,,,,,,,0.1284123385665792,0.0430809150361015,-0.1867445468583575,0.1468761040773849,0.0898082657710921,0.349481520008674
AVES,,,,,,,,,,,,,,,,,-0.1652103981630353,0.1616779828137746,0.0593127979495364,0.3065012099130519
AVGE,,,,,,,,,,,,,,,,,,0.1946682380872901,0.1468062040818349,0.2187877151509298
AVGU,,,,,,,,,,,,,,,,,,,,
AVGV,,,,,,,,,,,,,,,,,,,0.1193986000817,0.2338635470549144
AVIE,,,,,,,,,,,,,,,,,,0.0571866378885737,0.0478899503254246,0.1174558497262949
AVIV,,,,,,,,,,,,,,,,,-0.0898256738410955,0.1810801852551615,0.0526612683958649,0.4273749370820949
AVNM,,,,,,,,,,,,,,,,,,,0.0670052330991624,0.3875571648709779
AVNV,,,,,,,,,,,,,,,,,,,0.065425621167076,0.4064544410173252
AVXC,,,,,,,,,,,,,,,,,,,,0.3027061337306176
AWAY,,,,,,,,,,,,,,,,-0.0390377975348043,-0.3390712584772984,0.1730120089233644,0.1366708823882441,-0.020197289181992
BABX,,,,,,,,,,,,,,,,,,-0.3887394522229701,0.07692311617903069,1.258204463290388
BAFE,,,,,,,,,,,,,,,,,,,,0.1059356618854971
BAGX,,,,,,,,,,,,,,,,,,,,
BAI,,,,,,,,,,,,,,,,,,,,0.2504293150090908
BALI,,,,,,,,,,,,,,,,,,,0.22568913569180582,0.15201586490539465
BALQ,,,,,,,,,,,,,,,,,,,,
BALT,,,,,,,,,,,,,,,,,0.024783181985395197,0.07608288195142388,0.10323035748991316,0.06408012113862749
BAMA,,,,,,,,,,,,,,,,,,,0.1547729037686378,0.1324426719637885
BAMD,,,,,,,,,,,,,,,,,,,0.1800388945789215,-0.0063837208612627
BAMG,,,,,,,,,,,,,,,,,,,0.2494489392027528,0.184923927722207
BAMO,,,,,,,,,,,,,,,,,,,0.1493340257876385,0.0980490676781613
BAMV,,,,,,,,,,,,,,,,,,,0.1248836598503619,0.0890688240978547
BAMY,,,,,,,,,,,,,,,,,,,0.1094294033148801,0.1301881520274808
BAPR,,,,,,,,,,,,,,,0.0562125636465145,0.1270935286742787,-0.07196057861088434,0.23410303612449912,0.16482650648949781,0.08681890554669747
BAR,,,,,,,,,,,,,-0.027329266617214576,0.18097614148353847,0.24031516463687863,-0.06104502378857457,0.008943535655159929,0.12032958982993369,0.27286131737587094,0.6299542999554346
BASG,,,,,,,,,,,,,,,,,,,,
BASV,,,,,,,,,,,,,,,,,,,,
BAUG,,,,,,,,,,,,,,,0.11430605643110425,0.13111811793801165,-0.10534648970937543,0.20413698717064377,0.21845119027191418,0.15240696525298714
BBC,,,,,,,,,,0.02806269380281834,-0.33533111497914314,0.5498332664598733,-0.20743772373751213,0.5855417336505637,0.32547509872317737,-0.22685133933978485,-0.37300842825369873,-0.0009401288551206255,-0.017809998569446095,0.5948682001960841
BBH,-0.06185097032139897,-0.06622726235210141,0.10472807512705984,0.10634958433623765,0.011675837201955419,0.20525760714338315,0.4606005526641286,0.5999102637465537,0.3002030840924548,0.09324538393726267,-0.12742763967699755,0.14009763469045433,-0.12911397324230356,0.2585034586591335,0.21956480594860683,0.12138650420882668,-0.13951367994684982,0.04683741535179853,-0.06561564497492123,0.21601171434039945
BBP,,,,,,,,,,0.17923151608733545,0.10010075204272084,0.24375491226270385,-0.1504381701488623,0.23601569162323077,0.23254030058622321,-0.0853549227224617,-0.009208255109974917,0.19506270982404206,0.017633709251355434,0.3086157591857306
BCCC,,,,,,,,,,,,,,,,,,,,
BCHI,,,,,,,,,,,,,,,,,,,,
BCHP,,,,,,,,,,,,,,,,,,,0.22849942364464515,0.11541067576583819
BDEC,,,,,,,,,,,,,,,0.12847629089548596,0.167174646316812,-0.09520838554161615,0.20256550300827025,0.12853402485205323,0.15715014255933335
BDGS,,,,,,,,,,,,,,,,,,,0.1924495718657073,0.1100858086773477
BDRY,,,,,,,,,,,,,-0.2878140662193036,-0.1644131962944414,-0.4484636082510143,2.4816999812755567,-0.6854893977980632,0.3106576892967896,-0.427495292916759,0.3888000488281249
BDVL,,,,,,,,,,,,,,,,,,,,
BDYN,,,,,,,,,,,,,,,,,,,,
BEC,,,,,,,,,,,,,,,,,,,,
BEDY,,,,,,,,,,,,,,,,,,,,
BEDZ,,,,,,,,,,,,,,,,,-0.1372502864767991,0.2546494175040066,0.1888587615854422,0.049372058402342
